ordine	data	ora	altezza	temperatura	lido	ventoMS	ventomax	dirventoGN
289	14/11/19	04.000	0.5	13.3	0.56	5	6.7	12
290	14/11/19	04.166	0.5	13.3	0.57	6.5	7.8	11
291	14/11/19	04.333	0.5	13.2	0.6	5.9	6.8	21
292	14/11/19	04.498	0.51	13.2	0.63	5.4	6.5	19
293	14/11/19	04.664	0.51	13.2	0.64	5.6	6.5	29
294	14/11/19	04.830	0.52	13.2	0.63	5.2	6.7	23
295	14/11/19	05.000	0.53	13.3	0.64	5	6	26
296	14/11/19	05.166	0.54	13.4	0.66	4.3	5.6	30
297	14/11/19	05.333	0.56	13.4	0.69	3.6	4.6	40
298	14/11/19	05.498	0.58	13.4	0.69	3.8	4.3	31
299	14/11/19	05.664	0.6	13.4	0.72	3.9	5.4	28
300	14/11/19	05.830	0.62	13.3	0.75	4.8	5.4	29
301	14/11/19	06.000	0.64	13.4	0.77	5.1	6.2	26
302	14/11/19	06.166	0.67	13.5	0.78	5	6	27
303	14/11/19	06.333	0.69	13.7	0.8	4.6	5.6	21
304	14/11/19	06.498	0.71	13.8	0.82	5	6.8	20
305	14/11/19	06.664	0.73	13.8	0.83	5.2	6.4	26
306	14/11/19	06.830	0.75	13.7	0.87	5.4	6.4	24
307	14/11/19	07.000	0.77	13.6	0.89	5.2	5.9	28
308	14/11/19	07.166	0.79	13.5	0.91	4.7	5.7	33
309	14/11/19	07.333	0.8	13.4	0.93	5.5	6.7	35
310	14/11/19	07.498	0.82	13.4	0.97	5.6	6.8	33
311	14/11/19	07.664	0.84	13.4	1	5.7	6.8	27
312	14/11/19	07.830	0.87	13.5	1.04	5.9	6.8	23
313	14/11/19	08.000	0.89	13.5	1.04	5.9	7.6	27
314	14/11/19	08.166	0.91	13.7	1.08	5.8	6.5	29
315	14/11/19	08.333	0.93	13.9	1.1	5.2	6.5	39
316	14/11/19	08.498	0.96	14.1	1.1	5.9	6.7	39
317	14/11/19	08.664	0.99	14.1	1.12	5.7	6.7	36
318	14/11/19	08.830	1.01	14.3	1.13	5.9	7.4	37
319	14/11/19	09.000	1.03	14.4	1.13	6.1	7	39
320	14/11/19	09.166	1.05	14.5	1.14	6.4	8.1	35
321	14/11/19	09.333	1.06	14.5	1.14	6.4	7.8	31
322	14/11/19	09.498	1.07	14.6	1.15	6	7.5	30
323	14/11/19	09.664	1.09	14.7	1.15	6.1	7.6	28
324	14/11/19	09.830	1.1	14.7	1.16	5.7	6.8	27
325	14/11/19	10.000	1.11	14.6	1.16	5.4	6.5	22
326	14/11/19	10.166	1.11	14.7	1.17	6.4	8.7	18
327	14/11/19	10.333	1.12	14.7	1.16	5.9	6.8	19
328	14/11/19	10.498	1.13	14.8	1.15	6	7.1	29
329	14/11/19	10.664	1.13	14.8	1.14	6	7	36
330	14/11/19	10.830	1.13	14.8	1.13	5.5	6.6	34
331	14/11/19	11.000	1.13	14.8	1.12	5.5	7.4	39
332	14/11/19	11.166	1.12	14.7	1.12	5.5	6.4	40
333	14/11/19	11.333	1.12	14.8	1.1	5.3	6.6	39
334	14/11/19	11.498	1.12	14.8	1.08	6.2	7.8	44
335	14/11/19	11.664	1.11	14.9	1.07	6.2	7.2	37
336	14/11/19	11.830	1.1	14.9	1.05	5.5	6.3	43
337	14/11/19	12.000	1.08	14.8	1.02	4.7	6.1	35
338	14/11/19	12.166	1.07	14.8	0.99	5.3	6.2	33
339	14/11/19	12.333	1.05	14.8	0.94	5	5.8	42
340	14/11/19	12.498	1.03	14.8	0.88	5	5.7	40
341	14/11/19	12.664	1	14.7	0.83	4.8	5.6	43
342	14/11/19	12.830	0.97	14.7	0.77	5	6	39
