ordine	data	ora	altezza	temperatura	lido	ventoMS	ventomax	dirventoGN
1	12/11/19	04.000	0.38	13.7	0.5	8.1	10.2	26
2	12/11/19	04.166	0.38	13.7	0.53	7.5	9.2	26
3	12/11/19	04.333	0.4	13.7	0.54	7.2	8.9	28
4	12/11/19	04.498	0.41	13.7	0.57	7.5	9	28
5	12/11/19	04.664	0.43	13.7	0.59	7.8	9.2	31
6	12/11/19	04.830	0.44	13.7	0.64	7.3	9.9	32
7	12/11/19	05.000	0.47	13.7	0.68	7.7	10.2	32
8	12/11/19	05.166	0.5	13.6	0.69	8.7	10.4	38
9	12/11/19	05.333	0.53	13.6	0.72	8.9	11.6	41
10	12/11/19	05.498	0.56	13.6	0.75	9.4	11.5	40
11	12/11/19	05.664	0.6	13.6	0.79	10.2	11.9	43
12	12/11/19	05.830	0.63	13.7	0.83	10.1	11.7	49
13	12/11/19	06.000	0.67	13.7	0.82	10.3	13	51
14	12/11/19	06.166	0.69	13.8	0.86	11.4	13.4	53
15	12/11/19	06.333	0.72	13.8	0.9	11.5	13.4	52
16	12/11/19	06.498	0.75	13.7	0.92	10.1	11.1	47
17	12/11/19	06.664	0.78	13.7	0.97	9.9	10.8	47
18	12/11/19	06.830	0.8	13.7	1.02	9.1	10.6	45
19	12/11/19	07.000	0.83	13.7	1.04	8.4	9.6	42
20	12/11/19	07.166	0.86	13.8	1.05	7.6	8.4	37
21	12/11/19	07.333	0.88	13.9	1.09	7.1	8.2	42
22	12/11/19	07.498	0.91	13.9	1.13	7.8	9.5	46
23	12/11/19	07.664	0.94	13.8	1.15	8.2	9.7	42
24	12/11/19	07.830	0.97	13.8	1.15	8.2	10.6	44
25	12/11/19	08.000	0.99	13.8	1.21	8.4	10.8	40
26	12/11/19	08.166	1.02	13.8	1.24	8.8	10.7	43
27	12/11/19	08.333	1.05	13.8	1.24	9.5	11.1	46
28	12/11/19	08.498	1.09	13.9	1.25	10.2	11.8	48
29	12/11/19	08.664	1.1	14.1	1.28	9.3	12.8	51
30	12/11/19	08.830	1.12	14.1	1.31	6.9	11.3	42
31	12/11/19	09.000	1.15	14.1	1.3	9.6	12.1	44
32	12/11/19	09.166	1.17	14.1	1.3	9.2	12.3	47
