data	ora	altezza	temp
12/11/19	04.00	0.38	13.7
12/11/19	04.10	0.38	13.7
12/11/19	04.20	0.4	13.7
12/11/19	04.30	0.41	13.7
12/11/19	04.40	0.43	13.7
12/11/19	04.50	0.44	13.7
12/11/19	05.00	0.47	13.7
12/11/19	05.10	0.5	13.6
12/11/19	05.20	0.53	13.6
12/11/19	05.30	0.56	13.6
12/11/19	05.40	0.6	13.6
12/11/19	05.50	0.63	13.7
12/11/19	06.00	0.67	13.7
12/11/19	06.10	0.69	13.8
12/11/19	06.20	0.72	13.8
12/11/19	06.30	0.75	13.7
12/11/19	06.40	0.78	13.7
12/11/19	06.50	0.8	13.7
12/11/19	07.00	0.83	13.7
12/11/19	07.10	0.86	13.8
12/11/19	07.20	0.88	13.9
12/11/19	07.30	0.91	13.9
12/11/19	07.40	0.94	13.8
12/11/19	07.50	0.97	13.8
12/11/19	08.00	0.99	13.8
12/11/19	08.10	1.02	13.8
12/11/19	08.20	1.05	13.8
12/11/19	08.30	1.09	13.9
12/11/19	08.40	1.1	14.1
12/11/19	08.50	1.12	14.1
12/11/19	09.00	1.15	14.1
12/11/19	09.10	1.17	14.1
12/11/19	09.20	1.2	14.1
12/11/19	09.30	1.21	14.3
12/11/19	09.40	1.23	14.3
12/11/19	09.50	1.24	14.3
12/11/19	10.00	1.25	14.2
12/11/19	10.10	1.26	14.3
12/11/19	10.20	1.27	14.4
12/11/19	10.30	1.26	14.4
12/11/19	10.40	1.26	14.4
12/11/19	10.50	1.26	14.4
12/11/19	11.00	1.25	14.4
12/11/19	11.10	1.24	14.4
12/11/19	11.20	1.22	14.3
12/11/19	11.30	1.2	14.3
12/11/19	11.40	1.17	14.3
12/11/19	11.50	1.15	14.2
12/11/19	12.00	1.11	14.2
12/11/19	12.10	1.09	14.1
12/11/19	12.20	1.05	14.1
12/11/19	12.30	1.02	14.1
12/11/19	12.40	0.99	14.1
12/11/19	12.50	0.95	14.1
12/11/19	13.00	0.91	14.1
12/11/19	13.10	0.89	14.1
12/11/19	13.20	0.85	14.1
12/11/19	13.30	0.83	14
12/11/19	13.40	0.8	14
12/11/19	13.50	0.76	13.9
12/11/19	14.00	0.73	13.9
12/11/19	14.10	0.7	13.8
12/11/19	14.20	0.68	13.8
12/11/19	14.30	0.64	13.8
12/11/19	14.40	0.62	13.7
12/11/19	14.50	0.58	13.7
12/11/19	15.00	0.55	13.7
12/11/19	15.10	0.53	13.7
12/11/19	15.20	0.5	13.6
12/11/19	15.30	0.48	13.6
12/11/19	15.40	0.45	13.6
12/11/19	15.50	0.45	13.6
12/11/19	16.00	0.44	13.6
12/11/19	16.10	0.44	13.5
12/11/19	16.20	0.44	13.5
12/11/19	16.30	0.43	13.5
12/11/19	16.40	0.43	13.5
12/11/19	16.50	0.44	13.5
12/11/19	17.00	0.45	13.5
12/11/19	17.10	0.46	13.5
12/11/19	17.20	0.47	13.6
12/11/19	17.30	0.5	13.6
12/11/19	17.40	0.52	13.6
12/11/19	17.50	0.55	13.6
12/11/19	18.00	0.58	13.6
12/11/19	18.10	0.62	13.6
12/11/19	18.20	0.67	13.6
12/11/19	18.30	0.72	13.5
12/11/19	18.40	0.78	13.5
12/11/19	18.50	0.83	13.6
12/11/19	19.00	0.86	13.7
12/11/19	19.10	0.9	13.7
12/11/19	19.20	0.92	13.7
12/11/19	19.30	0.95	13.8
