ora	altezza
04.000	0.38
04.166	0.38
04.333	0.4
04.498	0.41
04.664	0.43
04.830	0.44
05.000	0.47
05.166	0.5
05.333	0.53
05.498	0.56
05.664	0.6
05.830	0.63
06.000	0.67
06.166	0.69
06.333	0.72
06.498	0.75
06.664	0.78
06.830	0.8
07.000	0.83
07.166	0.86
07.333	0.88
07.498	0.91
07.664	0.94
07.830	0.97
08.000	0.99
08.166	1.02
08.333	1.05
08.498	1.09
08.664	1.1
08.830	1.12
09.000	1.15
09.166	1.17
09.333	1.2
09.498	1.21
09.664	1.23
09.830	1.24
10.000	1.25
10.166	1.26
10.333	1.27
10.498	1.26
10.664	1.26
10.830	1.26
11.000	1.25
11.166	1.24
11.333	1.22
11.498	1.2
11.664	1.17
11.830	1.15
12.000	1.11
12.166	1.09
12.333	1.05
12.498	1.02
12.664	0.99
12.830	0.95
13.000	0.91
13.166	0.89
13.333	0.85
13.498	0.83
13.664	0.8
13.830	0.76
14.000	0.73
14.166	0.7
14.333	0.68
14.498	0.64
14.664	0.62
14.830	0.58
15.000	0.55
15.166	0.53
15.333	0.5
15.498	0.48
15.664	0.45
15.830	0.45
16.000	0.44
16.166	0.44
16.333	0.44
16.498	0.43
16.664	0.43
16.830	0.44
17.000	0.45
17.166	0.46
17.333	0.47
17.498	0.5
17.664	0.52
17.830	0.55
18.000	0.58
18.166	0.62
18.333	0.67
18.498	0.72
18.664	0.78
18.830	0.83
19.000	0.86
19.166	0.9
19.333	0.92
19.498	0.95
19.664	0.98
19.830	1.02
20.000	1.05
20.166	1.08
20.333	1.12
20.498	1.17
20.664	1.22
20.830	1.25
21.000	1.28
21.166	1.33
21.333	1.38
21.498	1.43
21.664	1.47
21.830	1.52
22.000	1.56
22.166	1.64
22.333	1.7
22.498	1.74
22.664	1.83
22.830	1.87
23.000	1.81
23.166	1.69
23.333	1.6
23.498	1.54
23.664	1.48
23.830	1.43
00.000	1.36
00.166	1.29
00.333	1.25
00.498	1.21
00.664	1.18
00.830	1.13
01.000	1.08
01.166	1.05
01.333	1.02
01.498	1.02
01.664	0.98
01.830	0.94
02.000	0.89
02.166	0.84
02.333	0.8
02.498	0.76
02.664	0.73
02.830	0.68
03.000	0.65
03.166	0.62
03.333	0.6
03.498	0.59
03.664	0.58
03.830	0.58
04.000	0.58
04.166	0.6
04.333	0.63
04.498	0.66
04.664	0.68
04.830	0.7
05.000	0.75
05.166	0.79
05.333	0.79
05.498	0.81
05.664	0.83
05.830	0.84
06.000	0.87
06.166	0.88
06.333	0.9
06.498	0.9
06.664	0.93
06.830	0.94
07.000	0.99
07.166	1.02
07.333	1.04
07.498	1.07
07.664	1.11
07.830	1.14
08.000	1.17
08.166	1.21
08.333	1.24
08.498	1.26
08.664	1.32
08.830	1.37
09.000	1.4
09.166	1.41
09.333	1.43
09.498	1.44
09.664	1.43
09.830	1.42
